,ERR2731369
SNX14,48.243225002020026
STXBP6,2.051891170397081
TMCC1,9.19918950646959
TMEM94,50.95433939995638
LINC01714,0.0
HNRNPUL2,34.6892162193824
OR52B6,0.449146684764338
OR52B4,0.0
MCC,18.77307048355145
IYD,0.0
GNB1,383.67364160856573
SLC25A36,45.158754510492145
SNORD128,0.0
ANGEL2,22.044869838207497
TMEM51,8.091910685763262
CD300LD,0.0
GRAMD1A,104.55535175216328
HSPB11,54.68487051804906
RHD,0.3387644433141066
IER5,63.42237719011745
DNAJC27,4.466634218437659
STK26,29.906454800851034
GNG13,0.0
SIRT6,37.172184705342886
GPR83,0.3704908823587993
TRIM73,0.0
UBE3D,4.3975656906066165
LINC02606,3.8997280652549255
TEX264,74.71293078881178
LETMD1,27.268360981826223
GLRX,186.02474573442151
CD2BP2,81.22870891971684
CFL2,62.16535686822723
IL15RA,56.47595692214536
CEP295NL,1.7882382876676803
DPYS,0.4267105167223871
SPDYE11,0.0
PCM1,30.163672575955935
RNF39,0.4826094714771176
TMEM274P,0.5098421827054648
ZCCHC8,16.64624060378892
INTS11,99.83869639256827
POU4F3,0.08791065208591314
GRIP1,0.2954119134691619
JAKMIP3,1.1991344097063197
SPRYD3,53.94031908591593
SRP19,12.925732310818267
FAM104A,42.8730926365959
OAS1,14.48923484329319
BTNL2,0.0
WDR4,5.783486077094163
MESP1,1.3636742718146166
DUSP26,0.1108027063735812
PLK5,0.0
CORO2B,22.136958093999354
SH3BP5L,23.801759885229618
MAPKAPK5,8.777984446039078
RCHY1,9.731744342358875
KIR2DL5A,0.0
PIGQ,42.59119523472688
ESCO1,10.869589956689902
CBLB,24.244741998728543
SPINK4,0.0
GPR63,0.4650162882523138
CLPTM1L,72.39552161889118
IQCE,10.50396725847313
TBC1D3D,0.0
FAM83A,0.5672484024086861
SCN1B,7.97828075674941
LBP,6.946145770295165
UBE3A,21.704517328638357
LINC01647,0.0
ALDH3A2,91.62592369192495
SMPD3,1.9111101965271433
USP15,8.309720605707707
ZNF587,12.596205557668123
ADD3,194.0552163147302
FBXO44,37.33970361613362
CAD,25.91168280086505
DGAT1,14.810405984115272
PUDP,26.441134874533283
ATP1B4,0.0
HOXA5,30.770044257795437
APOM,1.4827724614927489
METTL6,17.61048314899298
KYAT1,4.431262713388306
PRSS21,0.6378614158080892
SYNPR,0.5901636885842028
POMZP3,6.3083114912970615
CYFIP2,15.175824038626489
CLCN6,11.560412463005864
PPIP5K1,4.751234519801859
GAGE6,0.0
TAF1B,15.330528341062877
GLIS2,16.830703877651843
CTNS,49.69285087900893
CTH,7.774855042247728
FCER2,3.5493542893572068
VPS8,19.581930504817993
GUCY1A1,5.539910240633611
SIPA1L1,29.3257491601072
ESRP2,0.9489343660762596
CFAP70,2.1731513195637726
CPEB1,15.293812594392993
SNORA59B,0.0
SNORA59A,0.0
SPHK2,13.977877193995928
